id,cidade_uf
1100015,Alta Floresta D Oeste - CQ
1100379,Alto Alegre dos Parecis - LS
1100403,Alto Paraíso - SQ
1100346,Alvorada D Oeste - AA
1100023,Ariquemes - AA
1100452,Buritis - LS
1100031,Cabixi - PL
1100601,Cacaulândia - AA
1100049,Cacoal - SD
1100700,Campo Novo de Rondônia - PL
1100809,Candeias do Jamari - LF
1100908,Castanheiras - SE
1100056,Cerejeiras - LS
1100924,Chupinguaia - SE
1100064,Colorado do Oeste - RQ
1100072,Corumbiara - AA
1100080,Costa Marques - SD
1100940,Cujubim - SQ
1100098,Espigão D Oeste - PL
1101005,Governador Jorge Teixeira - LS
1100106,Guajará-Mirim - PL
1101104,Itapuã do Oeste - RQ
1100114,Jaru - LS
1100122,Ji-Paraná - RQ
1100130,Machadinho D Oeste - SD
1101203,Ministro Andreazza - SE
1101302,Mirante da Serra - AA
1101401,Monte Negro - SQ
1100148,Nova Brasilândia D Oeste - PL
1100338,Nova Mamoré - LF
1101435,Nova União - LS
1100502,Novo Horizonte do Oeste - CQ
1100155,Ouro Preto do Oeste - SQ
1101450,Parecis - LS
1100189,Pimenta Bueno - CQ
1101468,Pimenteiras do Oeste - CQ
1100205,Porto Velho - PL
1100254,Presidente Médici - LS
1101476,Primavera de Rondônia - SQ
1100262,Rio Crespo - AA
1100288,Rolim de Moura - CQ
1100296,Santa Luzia D Oeste - LF
1101484,São Felipe D Oeste - PL
1101492,São Francisco do Guaporé - LF
1100320,São Miguel do Guaporé - SQ
1101500,Seringueiras - SQ
1101559,Teixeirópolis - PL
1101609,Theobroma - AA
1101708,Urupá - LS
1101757,Vale do Anari - SE
1101807,Vale do Paraíso - AA
1100304,Vilhena - AA
1200013,Acrelândia - SD
1200054,Assis Brasil - LS
1200104,Brasiléia - LF
1200138,Bujari - SD
1200179,Capixaba - SE
1200203,Cruzeiro do Sul - SE
1200252,Epitaciolândia - RQ
1200302,Feijó - SE
1200328,Jordão - SE
1200336,Mâncio Lima - AA
1200344,Manoel Urbano - SQ
1200351,Marechal Thaumaturgo - SD
1200385,Plácido de Castro - LF
1200807,Porto Acre - CQ
1200393,Porto Walter - AA
1200401,Rio Branco - LS
1200427,Rodrigues Alves - SD
1200435,Santa Rosa do Purus - SE
1200500,Sena Madureira - SE
1200450,Senador Guiomard - SD
1200609,Tarauacá - SE
1200708,Xapuri - AA
1300029,Alvarães - SE
1300060,Amaturá - SD
1300086,Anamã - CQ
1300102,Anori - AA
1300144,Apuí - LS
1300201,Atalaia do Norte - AA
1300300,Autazes - RQ
1300409,Barcelos - LS
1300508,Barreirinha - SE
1300607,Benjamin Constant - LF
1300631,Beruri - PL
1300680,Boa Vista do Ramos - RQ
1300706,Boca do Acre - SE
1300805,Borba - SQ
1300839,Caapiranga - SD
1300904,Canutama - AA
1301001,Carauari - LF
1301100,Careiro - LS
1301159,Careiro da Várzea - SD
1301209,Coari - AA
1301308,Codajás - PL
1301407,Eirunepé - SE
1301506,Envira - SE
1301605,Fonte Boa - CQ
1301654,Guajará - SQ
1301704,Humaitá - CQ
1301803,Ipixuna - LF
1301852,Iranduba - SD
1301902,Itacoatiara - CQ
1301951,Itamarati - SD
1302009,Itapiranga - CQ
1302108,Japurá - LF
1302207,Juruá - RQ
1302306,Jutaí - RQ
1302405,Lábrea - CQ
1302504,Manacapuru - AA
1302553,Manaquiri - LS
1302603,Manaus - PL
1302702,Manicoré - SD
1302801,Maraã - AA
1302900,Maués - SQ
1303007,Nhamundá - SD
1303106,Nova Olinda do Norte - SE
1303205,Novo Airão - CQ
1303304,Novo Aripuanã - SQ
1303403,Parintins - RQ
1303502,Pauini - AA
1303536,Presidente Figueiredo - RQ
1303569,Rio Preto da Eva - LF
1303601,Santa Isabel do Rio Negro - LS
1303700,Santo Antônio do Içá - SQ
1303809,São Gabriel da Cachoeira - AA
1303908,São Paulo de Olivença - AA
1303957,São Sebastião do Uatumã - SE
1304005,Silves - PL
1304062,Tabatinga - SD
1304104,Tapauá - AA
1304203,Tefé - LS
1304237,Tonantins - SD
1304260,Uarini - RQ
1304302,Urucará - CQ
1304401,Urucurituba - PL
1400050,Alto Alegre - RQ
1400027,Amajari - CQ
1400100,Boa Vista - LF
1400159,Bonfim - AA
1400175,Cantá - LS
1400209,Caracaraí - LF
1400233,Caroebe - SE
1400282,Iracema - LF
1400308,Mucajaí - LF
1400407,Normandia - CQ
1400456,Pacaraima - LS
1400472,Rorainópolis - AA
1400506,São João da Baliza - RQ
1400605,São Luiz - SQ
1400704,Uiramutã - SE
1500107,Abaetetuba - SE
1500131,Abel Figueiredo - SE
1500206,Acará - RQ
1500305,Afuá - PL
1500347,Água Azul do Norte - CQ
1500404,Alenquer - LF
1500503,Almeirim - SE
1500602,Altamira - LF
1500701,Anajás - PL
1500800,Ananindeua - AA
1500859,Anapu - LS
1500909,Augusto Corrêa - CQ
1500958,Aurora do Pará - LS
1501006,Aveiro - SQ
1501105,Bagre - SQ
1501204,Baião - SQ
