cidades,id,uf
Alta Floresta D Oeste,1,RO
Alto Alegre dos Parecis,2,RO
Alto Paraíso,3,RO
Alvorada D Oeste,4,RO
Ariquemes,5,RO
Buritis,6,RO
Cabixi,7,RO
Cacaulândia,8,RO
Cacoal,9,RO
Campo Novo de Rondônia,10,RO
Candeias do Jamari,11,RO
Castanheiras,12,RO
Cerejeiras,13,RO
Chupinguaia,14,RO
Colorado do Oeste,15,RO
Corumbiara,16,RO
Costa Marques,17,RO
Cujubim,18,RO
Espigão D Oeste,19,RO
Governador Jorge Teixeira,20,RO
Guajará-Mirim,21,RO
Itapuã do Oeste,22,RO
Jaru,23,RO
Ji-Paraná,24,RO
Machadinho D Oeste,25,RO
Ministro Andreazza,26,RO
Mirante da Serra,27,RO
Monte Negro,28,RO
Nova Brasilândia D Oeste,29,RO
Nova Mamoré,30,RO
Nova União,31,RO
Novo Horizonte do Oeste,32,RO
Ouro Preto do Oeste,33,RO
Parecis,34,RO
Pimenta Bueno,35,RO
Pimenteiras do Oeste,36,RO
Porto Velho,37,RO
Presidente Médici,38,RO
Primavera de Rondônia,39,RO
Rio Crespo,40,RO
Rolim de Moura,41,RO
Santa Luzia D Oeste,42,RO
São Felipe D Oeste,43,RO
São Francisco do Guaporé,44,RO
São Miguel do Guaporé,45,RO
Seringueiras,46,RO
Teixeirópolis,47,RO
Theobroma,48,RO
Urupá,49,RO
Vale do Anari,50,RO
Vale do Paraíso,51,RO
Vilhena,52,RO
Acrelândia,53,AC
Assis Brasil,54,AC
Brasiléia,55,AC
Bujari,56,AC
Capixaba,57,AC
Cruzeiro do Sul,58,AC
Epitaciolândia,59,AC
Feijó,60,AC
Jordão,61,AC
Mâncio Lima,62,AC
Manoel Urbano,63,AC
Marechal Thaumaturgo,64,AC
Plácido de Castro,65,AC
Porto Acre,66,AC
Porto Walter,67,AC
Rio Branco,68,AC
Rodrigues Alves,69,AC
Santa Rosa do Purus,70,AC
Sena Madureira,71,AC
Senador Guiomard,72,AC
Tarauacá,73,AC
Xapuri,74,AC
Alvarães,75,AM
Amaturá,76,AM
Anamã,77,AM
Anori,78,AM
Apuí,79,AM
