id,numero,cliente,adverso,instancia,responsáivel,status,cadastrodata,distdata,grupos,acao
51365641,8530909-59.2020.80.1661,42,611,Terceira,rmarques@uniube.com,arquivo definitivo,,21/8/2015,1;4;3,Ação Proc-000988
51365642,3433438-27.2000.90.8927,168,854,Terceira,rafaeloli@uniube.com,Em andamento,,11/8/2012,3;4;1,Ação Proc-000999
51365643,6684921-12.2011.63.1493,33,312,Segunda,fbeatriz@uniube.com,encerrado,,19/6/2020,4;3;1,Ação Proc-0001010
51365644,"9,37284E+18",54,976,Terceira,jsantos@uniube.com,Conhecimento,,11/1/2017,4;3;2,Ação Proc-0001021
51365645,4266183-65.2009.93.9021,92,258,Primeira,fbeatriz@uniube.com,encerrado,,5/4/2014,2;1;3;4,Ação Proc-0001032
51365646,3553604-33.1995.49.4565,104,630,Primeira,rmarques@uniube.com,Engavetado,,10/12/2016,1;2;4,Ação Proc-0001043
51365647,2503318-95.2011.41.7959,181,497,Terceira,rafaeloli@uniube.com,Conhecimento,,17/4/2016,3;4;2,Ação Proc-0001054
51365648,9823183-74.2010.55.8073,12,678,Terceira,giulia@uniube.com,Conhecimento,,26/1/2017,1;2,Ação Proc-0001065
51365649,6941980-45.2011.75.7984,52,288,Segunda,rmarques@uniube.com,Anulado,,5/2/2014,1;2;3,Ação Proc-0001076
51365650,5114727-24.1999.77.7160,20,437,Segunda,giulia@uniube.com,Em andamento,,10/10/2013,2;1;4,Ação Proc-0001087
51365651,,14,286,Primeira,fbeatriz@uniube.com,Em julgamento,,8/7/2020,3;1;2;4,Ação Proc-0001098
51365652,5473442-69.2012.27.9534,84,692,Terceira,rmarques@uniube.com,arquivo definitivo,,6/3/2013,4;2;3,Ação Proc-0001109
51365653,,154,570,Primeira,rmarques@uniube.com,Anulado,,23/10/2014,4;3,Ação Proc-0001120
51365654,"5,12963E+18",163,687,Primeira,jsantos@uniube.com,Conhecimento,,13/1/2012,2;3;1,Ação Proc-0001131
51365655,3601406-21.1995.46.2459,39,967,Segunda,rafaeloli@uniube.com,Em andamento,,14/9/2020,2;1,Ação Proc-0001142
51365656,2277245-49.2000.46.1990,123,410,Segunda,giulia@uniube.com,encerrado,,16/8/2020,3;4;1,Ação Proc-0001153
51365657,5472130-19.2001.28.7641,29,478,Terceira,giulia@uniube.com,Em andamento,,21/1/2020,4;1;2,Ação Proc-0001164
51365658,8237193-70.2009.93.4959,22,340,Primeira,fbeatriz@uniube.com,Anulado,,5/3/2017,4;2,Ação Proc-0001175
51365659,6290217-82.2010.77.3533,102,579,Terceira,rafaeloli@uniube.com,Conhecimento,,4/2/2016,3;2,Ação Proc-0001186
51365660,"4,52151E+18",158,996,Primeira,giulia@uniube.com,encerrado,,17/6/2015,2;1,Ação Proc-0001197
